seed_param,seed_sim,r,n,events,median,lwr,upr
6,5,-0.5,100,100,70,65,70
6,5,-0.25,100,100,70,65,70
6,5,0,100,100,65,65,70
6,5,0.25,100,100,70,65,70
6,5,0.5,100,100,70,65,70
6,5,0.75,100,100,70,65,70
6,5,1,100,100,70,65,70
6,6,-1,100,100,65,65,70
6,6,-0.75,100,100,65,65,70
6,6,-0.5,100,100,65,65,70
6,6,-0.25,100,100,70,65,75
6,6,0,100,100,70,65,70
6,6,0.25,100,100,70,65,70
6,6,0.5,100,100,70,65,70
6,6,0.75,100,100,70,65,70
6,6,1,100,100,70,70,70
6,7,-1,100,100,65,65,70
6,7,-0.75,100,100,65,65,70
6,7,-0.5,100,100,65,65,70
6,7,-0.25,100,100,65,65,70
6,7,0,100,100,65,65,70
6,7,0.25,100,100,65,65,70
6,7,0.5,100,100,70,65,70
6,7,0.75,100,100,70,65,70
6,7,1,100,100,70,65,70
6,8,-1,100,100,70,65,70
6,8,-0.75,100,100,70,65,70
6,8,-0.5,100,100,70,65,70
6,8,-0.25,100,100,70,65,70
6,8,0,100,100,70,65,70
6,8,0.25,100,100,70,65,70
6,8,0.5,100,100,70,70,70
6,8,0.75,100,100,70,65,70
6,8,1,100,100,70,65,70
6,9,-1,100,100,70,65,70
6,9,-0.75,100,100,65,65,70
6,9,-0.5,100,100,65,65,70
6,9,-0.25,100,100,65,65,70
6,9,0,100,100,70,65,70
6,9,0.25,100,100,70,65,70
6,9,0.5,100,100,65,65,70
6,9,0.75,100,100,70,65,70
6,9,1,100,100,70,70,70
6,10,-1,100,100,65,65,70
6,10,-0.75,100,100,65,60,70
6,10,-0.5,100,100,65,65,70
6,10,-0.25,100,100,70,65,70
6,10,0,100,100,65,65,70
6,10,0.25,100,100,70,65,70
6,10,0.5,100,100,70,65,70
6,10,0.75,100,100,70,65,70
6,10,1,100,100,70,65,70
7,1,-1,100,100,70,65,70
7,1,-0.75,100,100,70,65,70
7,1,-0.5,100,100,70,65,70
7,1,-0.25,100,100,67.5,65,70
7,1,0,100,100,70,65,70
7,1,0.25,100,100,70,65,70
7,1,0.5,100,100,67.5,65,70
7,1,0.75,100,100,70,65,70
7,1,1,100,100,70,65,70
7,2,-1,100,100,65,65,70
7,2,-0.75,100,100,70,65,70
7,2,-0.5,100,100,70,65,70
7,2,-0.25,100,100,65,65,70
