seed_param,seed_sim,r,mean,SD,median,Q1,Q3,IQR
4,6,0,67.95,11.936172846529253,65,60,70,10
4,6,0.25,68.45,11.96997506389646,65,60,75,15
4,6,0.5,68.95,10.107877715880417,70,63.75,75,11.25
4,6,0.75,68.6,8.906926143924924,70,60,75,15
4,6,1,69.3,8.558178792384759,70,65,75,10
4,7,-1,66.7,16.162370563200877,65,55,75,20
4,7,-0.75,66.95,15.140670361311582,65,55,75,20
4,7,-0.5,67.55,14.416163067049345,65,60,75,15
4,7,-0.25,66.45,12.08753845324125,65,60,75,15
4,7,0,67.7,12.898594395271811,65,60,75,15
4,7,0.25,67.05,10.685943755204494,65,60,75,15
4,7,0.5,67.45,10.236965104241323,70,60,75,15
4,7,0.75,67.5,8.333333333333334,65,60,75,15
4,7,1,68.25,7.732098908792718,70,65,70,5
4,8,-1,67.15,15.654976295998752,65,58.75,75,16.25
4,8,-0.75,67.6,15.183723342627609,65,60,75,15
4,8,-0.5,66.9,14.066580496648319,65,60,75,15
4,8,-0.25,67.3,13.435592711717318,65,60,75,15
4,8,0,67.4,12.195379154715638,65,60,75,15
4,8,0.25,67.95,11.41713668574613,65,60,75,15
4,8,0.5,67.85,10.006437321983677,65,65,71.25,6.25
4,8,0.75,67.5,8.862017464175612,70,60,75,15
4,8,1,69.05,7.577711869140788,70,65,75,10
4,9,-1,66.55,15.23709919634285,65,60,76.25,16.25
4,9,-0.75,66.9,14.920327128322677,65,58.75,75,16.25
4,9,-0.5,66.75,13.359349618234498,65,60,70,10
4,9,-0.25,67.75,13.397101299621617,65,58.75,75,16.25
4,9,0,67.4,12.602709344751343,65,60,75,15
4,9,0.25,67.25,11.13224001164041,70,60,71.25,11.25
4,9,0.5,68.15,10.216222987054078,65,60,75,15
4,9,0.75,69.85,9.251126057585278,70,65,75,10
4,9,1,68.5,8.36358146666217,70,65,71.25,6.25
4,10,-1,67.4,15.299699607535047,65,55,75,20
4,10,-0.75,66.9,15.105353924079937,65,55,75,20
4,10,-0.5,66.85,13.682086644569056,65,60,75,15
4,10,-0.25,66.75,11.620579967793294,65,60,75,15
4,10,0,67.75,12.720281268728122,67.5,60,75,15
4,10,0.25,67.05,11.829918414637088,65,60,75,15
